Номенклатура,Артикул,Группа,Стоимость,Прибыль,Поставщик,Предмет,остатки через 10 дней,Цена остатка,Рентабельность,Траты на рекламу за вчера,ДРР,Базовая,БАЗА Акция,Цена акция|Обычная,Рентабельность с акцией,Разница рент,-5 Акция,Цена акция|Обычная,Рентабельность с акцией,Разница рент,Новая рентабельность,АКЦИЯ выгоднее,Продажи,Продажи за вчера,Продажи за 3 дня,Тренд,Ср. 7 дней,Прибыль 2021,Дней в продаже,Цена остатка на стоках,Склад WB,FBS,Ожидание,Закуп,Озон МС,Мойсклад,Оборачиваемость,Заканчивается через,Оборачиваемость склада,Обор посл день (весь),Обор 3 дня (весь),Обор 3 дня,Обор посл день ВБ,Коледино,Дней на сайте,Себес,Комиссия,Логистика ВБ,Литраж,Логистика литраж,Логистика мпстатс,Прибыль с партии,Прибыль с партии нов,Прибыль в мес,Новая прибыль,Изменение цены на...,причина,Новая цена,Новая базовая,Прибыль новая,Новая комиссия,Упаковка,Админ расход,Хранение в мес,Налог и реклама,% брака,% брака МС,% выкупа,Цена товара + ожидание,Остаток МС,Остаток ВБ,Траты на рекламу за вчера,ДРР
162425661,meshochki_stirkiV,Неликвид,266,-2,,Шары для стиральной машины,27193,27838,-1%,0,,532,252,-15,-23%,23%,235,-32,0,24%,-1%,-24%,0.2,0,0,0,,0,0,27838,67,0,0,,0,153,394,,1222,999,660,201,999,38,75,127,45,0,,64,4,-495,-495,-11,-11,,,266,532,-2,45,24,0,8,0,1,1,96,27838,19360,8478,0,0.00%
161791078,penal_bezhsinV,Актив/Осень / Сезонные,610,25,"ООО ""ОПТСЕРВИС""",Пеналы,40765,41632,4%,329,,1220,558,-53,-2%,6%,,-611,,4%,4%,0%,0.1,0,0,0,,0,0,41632,144,0,0,,0,0,1440,,1309,999,432,432,999,44,75,289,92,0,2,64,3,3619,3619,75,75,,,610,1220,25,92,21,53,8,57,1,1,95,41632,0,41632,329,539.34%
162928378,vibrator_relef_rozV,Неликвид,351,24,"ООО ""ОПТСЕРВИС""",Вибраторы,36777,39746,7%,0,,702,352,0,-11%,18%,,-352,,7%,7%,0%,0.6,0,0,0,,0,0,39746,53,0,0,,0,200,84,,395,999,759,159,999,30,35,157,67,0,,66,19,5988,5988,447,447,,,351,702,24,67,29,0,8,0,1,1,92,39746,,,,0.00%
161792711,penal_krolikV,Актив/Осень / Сезонные,361,18,"ООО ""ОПТСЕРВИС""",Пеналы,20495,25392,5%,0,0%,722,317,-45,-3%,9%,,-362,,5%,5%,0%,1.3,1,1,1,,0,0,25392,196,0,0,,0,0,156,,154,196,294,294,196,126,37,130,54,0,2,64,44,3616,3616,697,697,,,361,722,18,54,21,31,8,34,1,1,95,25392,,,,0.00%
162285034,strazi_glazV,Неликвид,182,35,"ООО ""ОПТСЕРВИС""",Стразы,5802,5981,19%,21,,364,183,0,2%,18%,,-183,,19%,19%,0%,0.3,0,0,0,,0,0,5981,58,0,0,,0,213,215,,968,999,813,174,999,37,30,22,31,0,0,65,11,9410,9410,281,281,,,182,364,35,31,21,0,8,0,0,0,94,5981,,,,0.00%
163760446,scaner_autoV,Актив/Новинки,395,31,"ООО ""ОПТСЕРВИС""",Автосканеры,33688,36151,8%,41,5%,790,347,-49,0%,8%,331,-65,0,6%,8%,-6%,0.6,2,1,3,,0,0,36151,47,0,0,,0,226,76,,433,137,273,47,24,33,40,132,67,0,1,64,12,8351,8351,569,569,,,395,790,31,67,21,34,8,37,1,1,95,36151,,,,0.00%
161703334,penal_zheltV,Актив/Осень / Сезонные,230,12,"ООО ""ОПТСЕРВИС""",Пеналы,6717,8525,5%,0,0%,460,196,-35,-6%,11%,,-231,,5%,5%,0%,1.2,2,1,2,,0,0,8525,174,0,0,,0,0,141,,140,87,174,174,87,105,75,49,35,0,2,64,27,2005,2005,425,425,,,230,460,12,35,21,20,8,21,0,0,95,8525,,,,0.00%
163346014,leika_dyshV,Неликвид,351,24,"ООО ""ОПТСЕРВИС""",Лейки для душа,48165,48312,7%,98,,702,403,51,-2%,8%,383,31,0,7%,7%,-10%,0.0,0,0,0,,0,0,48312,61,0,0,,0,234,2033,,7375,999,885,183,999,48,30,164,67,0,,64,1,6947,6947,21,21,,,351,702,24,67,24,0,8,0,1,1,95,48312,,,,0.00%
161727956,penal_persikV,Актив/Осень / Сезонные,260,32,"ООО ""ОПТСЕРВИС""",Пеналы,4980,7366,12%,0,,520,206,-55,-2%,14%,,-261,,12%,12%,0%,1.6,0,0,0,,0,0,7366,151,0,200,,0,0,93,,92,999,453,453,999,84,82,49,39,0,2,64,45,4812,4812,1558,1558,,,260,520,32,39,21,22,8,24,0,0,95,17122,0,7366,0,0.00%
162388700,sumochkaV,Неликвид,731,88,"ООО ""ОПТСЕРВИС""",Сумки,125280,138409,12%,0,0%,1462,870,138,4%,8%,,-732,,12%,12%,0%,1.2,4,2,3,,0,0,138409,99,0,0,,0,290,80,,314,97,233,59,25,91,87,356,168,0,7,87,33,34147,34147,3239,3239,,,731,1462,88,168,21,0,9,0,2,2,78,138409,103184,35225,0,0.00%
162187823,paylnikV,Неликвид,1369,68,"ООО ""ОПТСЕРВИС""",Паяльники,319456,368206,5%,0,0%,2738,1314,-56,-16%,21%,,-1370,,5%,5%,0%,1.7,3,1,2,,0,0,368206,29,0,0,,0,363,17,,225,131,294,22,10,6,35,939,260,0,0,65,41,26656,26656,3529,3529,,,1369,2738,68,260,24,0,8,0,5,5,94,368206,,,,0.00%
162031457,sprey_maslo_chernV,Актив,557,41,"ООО ""ОПТСЕРВИС""",Емкости для масла и уксуса,82578,93574,7%,0,,1114,567,9,8%,-1%,538,-20,0,-1%,9%,1%,1.7,0,0,0,,0,0,93574,76,0,0,,0,358,45,,254,999,1302,228,999,45,75,216,106,0,2,65,42,17642,23118,2073,2717,20,,577,1154,53,110,21,48,8,52,1,1,94,93574,77188,16386,0,0.00%
161699722,penal_olivkaV,Актив/Осень / Сезонные,275,43,"ООО ""ОПТСЕРВИС""",Пеналы,19012,23126,16%,0,0%,550,206,-70,-2%,17%,,-276,,16%,16%,0%,2.9,1,1,0,,0,0,23126,162,0,0,,0,322,56,,168,484,726,243,162,69,50,48,41,0,2,64,74,20780,20780,3697,3697,,,275,550,43,41,21,24,8,26,0,0,95,23126,,,,0.00%
